City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,borborema,-21.6197,-49.0736,30.8,45,100,2.87,BR,1670092175
1,qaanaaq,77.484,-69.3632,-14.54,77,98,3.56,GL,1670092176
2,east london,-33.0153,27.9116,17.52,88,40,3.6,ZA,1670092177
3,kyshtovka,56.555,76.6271,-23.01,90,23,2.7,RU,1670092177
4,poum,-20.2333,164.0167,25.68,87,90,1.73,NC,1670092178
5,omsukchan,62.5333,155.8,-27.65,82,5,2.0,RU,1670092179
6,ushuaia,-54.8,-68.3,10.79,61,75,9.26,AR,1670092179
7,bilibino,68.0546,166.4372,-26.0,94,33,2.33,RU,1670092180
8,kapaa,22.0752,-159.319,24.15,87,28,1.34,US,1670092181
9,vaini,-21.2,-175.2,25.09,94,75,0.51,TO,1670092089
10,ambon,-3.6954,128.1814,26.24,14,93,1.75,ID,1670092182
11,comodoro rivadavia,-45.8667,-67.5,25.92,19,34,15.43,AR,1670092182
12,airai,-8.9266,125.4092,15.33,85,31,0.66,TL,1670092183
13,necochea,-38.5473,-58.7368,30.03,25,1,3.67,AR,1670092184
14,belmonte,-15.8631,-38.8828,25.0,86,100,4.36,BR,1670092058
15,port alfred,-33.5906,26.891,16.77,89,71,0.45,ZA,1670092093
16,hobart,-42.8794,147.3294,13.92,88,100,0.51,AU,1670091874
17,norman wells,65.282,-126.8329,1.02,93,100,4.12,CA,1670092187
18,katsuura,35.1333,140.3,15.58,59,97,10.63,JP,1670092148
19,saint-philippe,-21.3585,55.7679,24.77,76,41,2.19,RE,1670092188
20,barrow,71.2906,-156.7887,-5.99,58,100,4.12,US,1670092113
21,general pico,-35.6566,-63.7568,34.2,19,0,3.2,AR,1670092188
22,guerrero negro,27.9769,-114.0611,21.31,54,100,1.9,MX,1670092189
23,hauterive,46.0901,3.4459,4.42,91,100,1.09,FR,1670092189
24,chokurdakh,70.6333,147.9167,-21.65,92,100,7.99,RU,1670092190
25,ketchikan,55.3422,-131.6461,-1.74,59,0,4.63,US,1670092191
26,bluff,-46.6,168.3333,10.45,72,100,10.62,NZ,1670092193
27,luganville,-15.5333,167.1667,26.26,87,100,4.1,VU,1670092194
28,jamestown,42.097,-79.2353,5.77,70,100,10.29,US,1670092065
29,sao jose da coroa grande,-8.8978,-35.1478,27.78,69,59,5.33,BR,1670092195
30,nikolskoye,59.7035,30.7861,-4.06,89,100,3.26,RU,1670092196
31,lumby,50.2498,-118.969,-8.67,87,70,1.03,CA,1670092196
32,mount isa,-20.7333,139.5,18.87,59,7,2.57,AU,1670092197
33,mataura,-46.1927,168.8643,10.27,75,100,2.57,NZ,1670092197
34,port elizabeth,-33.918,25.5701,18.39,82,20,2.06,ZA,1670092082
35,sur,22.5667,59.5289,23.82,64,0,1.82,OM,1670092199
36,cape town,-33.9258,18.4232,17.93,64,20,10.29,ZA,1670091909
37,ilulissat,69.2167,-51.1,-0.99,80,75,6.17,GL,1670092200
38,qasigiannguit,68.8193,-51.1922,-0.86,80,100,6.26,GL,1670092201
39,shubarshi,48.5872,57.1869,-12.73,74,6,5.94,KZ,1670092202
40,victoria,22.2855,114.1577,21.64,82,59,4.02,HK,1670092202
41,srednekolymsk,67.45,153.6833,-39.09,100,35,0.5,RU,1670091940
42,guerrero,17.6667,-100.0,26.89,42,5,2.41,MX,1670092204
43,butaritari,3.0707,172.7902,27.48,76,11,7.41,KI,1670092204
44,mhlambanyatsi,-26.45,31.0167,15.68,97,100,1.94,SZ,1670092205
45,nosy varika,-20.5833,48.5333,24.46,86,100,3.01,MG,1670092206
46,atuona,-9.8,-139.0333,25.55,70,1,8.46,PF,1670092206
47,kungurtug,50.5994,97.5228,-29.13,98,30,0.69,RU,1670092207
48,lebu,-37.6167,-73.65,17.46,73,39,5.29,CL,1670092119
49,albany,42.6001,-73.9662,11.48,88,100,5.35,US,1670092201
50,auki,-8.7676,160.7034,24.48,89,100,2.2,SB,1670092209
51,rikitea,-23.1203,-134.9692,23.29,73,16,6.38,PF,1670092086
52,batagay,67.6333,134.6333,-27.24,98,100,2.14,RU,1670092210
53,busselton,-33.65,115.3333,16.65,76,100,6.57,AU,1670092211
54,lavrentiya,65.5833,-171.0,-5.64,94,100,7.18,RU,1670092212
55,raudeberg,61.9875,5.1352,2.15,69,27,2.1,NO,1670092213
56,esperance,-33.8667,121.9,16.25,84,100,6.26,AU,1670092214
57,eyl,7.9803,49.8164,25.04,69,11,7.4,SO,1670092214
58,bambous virieux,-20.3428,57.7575,24.14,78,40,1.54,MU,1670092215
59,goundam,16.4145,-3.6708,28.92,16,33,3.37,ML,1670092216
60,kodiak,57.79,-152.4072,-6.27,79,0,3.09,US,1670092024
61,saraland,30.8207,-88.0706,26.74,75,100,2.65,US,1670092217
62,zhaoqing,23.0512,112.4597,16.57,83,100,1.1,CN,1670092218
63,tiksi,71.6872,128.8694,-23.16,94,100,10.11,RU,1670092219
64,dikson,73.5069,80.5464,-3.95,93,100,6.86,RU,1670092220
65,pangody,65.85,74.4859,-15.74,96,71,4.05,RU,1670092220
66,saint-augustin,51.226,-58.6502,0.79,85,100,8.1,CA,1670092221
67,ribeira grande,38.5167,-28.7,14.22,77,75,7.72,PT,1670092222
68,lorengau,-2.0226,147.2712,27.43,78,100,3.33,PG,1670092222
69,jinchang,38.4953,102.1739,-6.62,58,100,0.42,CN,1670092223
70,mazara del vallo,37.6641,12.588,17.18,84,100,7.15,IT,1670092224
71,camabatela,-8.1881,15.375,17.16,98,100,0.87,AO,1670092225
72,nizhnevartovsk,60.9344,76.5531,-16.99,85,100,3.0,RU,1670091999
73,christchurch,-43.5333,172.6333,14.39,81,100,1.54,NZ,1670091665
74,puerto ayora,-0.7393,-90.3518,24.98,87,67,3.58,EC,1670091983
75,chapais,49.7834,-74.8492,0.88,99,100,3.17,CA,1670092229
76,punta arenas,-53.15,-70.9167,10.06,50,20,12.86,CL,1670092228
77,nanortalik,60.1432,-45.2371,-1.53,82,100,5.63,GL,1670092230
78,port townsend,48.117,-122.7605,5.28,93,100,2.68,US,1670092231
79,khatanga,71.9667,102.5,-18.13,93,100,9.41,RU,1670092225
80,humaita,-7.5061,-63.0208,26.04,74,100,0.84,BR,1670092233
81,hilo,19.7297,-155.09,25.16,97,100,2.06,US,1670092215
82,bredasdorp,-34.5322,20.0403,14.3,64,6,2.05,ZA,1670092234
83,tupa,-21.9347,-50.5136,28.28,55,100,2.49,BR,1670092210
84,tuatapere,-46.1333,167.6833,10.49,78,100,3.0,NZ,1670091960
85,upernavik,72.7868,-56.1549,-3.3,87,100,11.17,GL,1670092235
86,tasiilaq,65.6145,-37.6368,-0.91,95,100,11.68,GL,1670092236
87,abong mbang,3.9833,13.1833,23.29,55,100,1.36,CM,1670092237
88,rudbar,30.15,62.6,10.06,32,0,0.66,AF,1670092237
89,cabo san lucas,22.8909,-109.9124,32.01,52,0,2.57,MX,1670091981
90,vestmannaeyjar,63.4427,-20.2734,6.55,81,0,3.6,IS,1670092036
91,berdigestyakh,62.0989,126.6992,-28.52,100,100,0.67,RU,1670091946
92,cherskiy,68.75,161.3,-21.78,87,100,2.99,RU,1670092239
93,skibbereen,51.55,-9.2667,7.84,79,100,3.54,IE,1670092240
94,ponta delgada,37.7333,-25.6667,13.4,71,40,5.66,PT,1670092241
95,kavieng,-2.5744,150.7967,27.5,78,95,2.79,PG,1670092241
96,moratuwa,6.773,79.8816,24.62,87,69,2.56,LK,1670092242
97,mapimi,25.8167,-103.85,25.16,34,0,3.37,MX,1670092242
98,provideniya,64.3833,-173.3,-4.82,94,100,9.31,RU,1670092243
99,cidreira,-30.1811,-50.2056,24.19,89,97,3.07,BR,1670092162
100,hermanus,-34.4187,19.2345,16.0,63,99,3.82,ZA,1670092237
101,vytegra,61.0064,36.4481,-6.95,76,100,5.12,RU,1670092245
102,severo-kurilsk,50.6789,156.125,-3.62,82,35,3.06,RU,1670092246
103,palmer,42.1584,-72.3287,13.25,85,100,7.2,US,1670092246
104,kamaishi,39.2667,141.8833,9.43,81,100,2.65,JP,1670092247
105,namibe,-15.1961,12.1522,22.08,79,100,1.04,AO,1670092248
106,sibolga,1.7427,98.7792,23.89,88,100,1.41,ID,1670091997
107,el carmen,8.5106,-73.4478,26.75,54,76,1.07,CO,1670092249
108,indri,29.88,77.0711,15.77,50,0,1.88,IN,1670092249
109,cabedelo,-6.9811,-34.8339,29.37,70,25,6.99,BR,1670092246
110,bashtanka,47.4072,32.4387,0.87,63,100,6.26,UA,1670092251
111,djambala,-2.5447,14.7533,19.44,94,100,0.91,CG,1670092251
112,kiama,-34.6833,150.8667,16.67,98,0,3.02,AU,1670092252
113,codrington,-38.2667,141.9667,14.71,81,59,3.03,AU,1670092253
114,gucheng,35.9115,111.3192,1.87,23,100,0.74,CN,1670092253
115,iqaluit,63.7506,-68.5145,-23.83,97,17,1.82,CA,1670092255
116,evensk,61.95,159.2333,-20.13,84,20,3.99,RU,1670092255
117,nome,64.5011,-165.4064,0.04,93,100,4.63,US,1670092256
118,mount pleasant,32.7941,-79.8626,26.16,58,0,6.17,US,1670092125
119,lompoc,34.6391,-120.4579,17.55,93,100,4.63,US,1670092217
120,alice springs,-23.7,133.8833,15.75,39,0,3.09,AU,1670091992
121,impfondo,1.6381,18.0667,22.57,93,100,0.55,CG,1670092258
122,makakilo city,21.3469,-158.0858,23.89,80,20,3.09,US,1670092259
123,catuday,16.2923,119.8062,25.8,79,97,3.32,PH,1670092260
